observation_date,W326RC1Q027SBEA
1947-01-01,20.153
1947-04-01,23.184
1947-07-01,23.297
1947-10-01,24.487
1948-01-01,27.986
1948-04-01,29.491
1948-07-01,28.752
1948-10-01,30.075
1949-01-01,28.315
1949-04-01,26.003
1949-07-01,27.279
1949-10-01,24.109
1950-01-01,27.390
1950-04-01,31.272
1950-07-01,35.525
1950-10-01,38.886
1951-01-01,37.790
1951-04-01,37.398
1951-07-01,37.697
1951-10-01,38.450
1952-01-01,36.410
1952-04-01,34.307
1952-07-01,33.989
1952-10-01,38.236
1953-01-01,39.285
1953-04-01,38.417
1953-07-01,37.228
1953-10-01,29.999
1954-01-01,32.396
1954-04-01,33.661
1954-07-01,35.689
1954-10-01,38.964
1955-01-01,44.139
1955-04-01,45.431
1955-07-01,45.402
1955-10-01,46.699
1956-01-01,44.380
1956-04-01,44.377
1956-07-01,43.764
1956-10-01,44.693
1957-01-01,46.107
1957-04-01,44.710
1957-07-01,43.780
1957-10-01,40.225
1958-01-01,34.733
1958-04-01,36.019
1958-07-01,40.315
1958-10-01,45.882
1959-01-01,49.252
1959-04-01,53.797
1959-07-01,48.099
1959-10-01,47.957
1960-01-01,51.783
1960-04-01,47.880
1960-07-01,47.203
1960-10-01,44.793
1961-01-01,43.488
1961-04-01,48.370
1961-07-01,51.165
1961-10-01,55.869
1962-01-01,56.753
1962-04-01,56.368
1962-07-01,58.044
1962-10-01,60.271
1963-01-01,61.115
1963-04-01,64.548
1963-07-01,66.002
1963-10-01,67.200
1964-01-01,70.773
1964-04-01,71.243
1964-07-01,72.604
1964-10-01,72.324
1965-01-01,80.194
1965-04-01,82.234
1965-07-01,83.644
1965-10-01,87.892
1966-01-01,91.642
1966-04-01,91.106
1966-07-01,89.664
1966-10-01,91.043
1967-01-01,88.722
1967-04-01,87.918
1967-07-01,88.647
1967-10-01,92.170
1968-01-01,92.735
1968-04-01,96.508
1968-07-01,97.250
1968-10-01,99.302
1969-01-01,98.588
1969-04-01,96.569
1969-07-01,94.468
1969-10-01,89.960
1970-01-01,83.211
1970-04-01,87.644
1970-07-01,86.826
1970-10-01,81.904
1971-01-01,94.801
1971-04-01,96.100
1971-07-01,97.824
1971-10-01,101.910
1972-01-01,106.628
1972-04-01,108.211
1972-07-01,113.264
1972-10-01,120.584
1973-01-01,126.635
1973-04-01,123.469
1973-07-01,124.129
1973-10-01,127.699
1974-01-01,122.344
1974-04-01,123.480
1974-07-01,120.399
1974-10-01,118.949
1975-01-01,120.219
1975-04-01,133.453
1975-07-01,153.571
1975-10-01,158.121
1976-01-01,172.337
1976-04-01,168.644
1976-07-01,169.701
1976-10-01,168.206
1977-01-01,176.225
1977-04-01,196.266
1977-07-01,209.986
1977-10-01,205.061
1978-01-01,195.582
1978-04-01,225.822
1978-07-01,228.418
1978-10-01,236.393
1979-01-01,229.994
1979-04-01,228.763
1979-07-01,224.752
1979-10-01,223.390
1980-01-01,223.845
1980-04-01,203.833
1980-07-01,219.199
1980-10-01,246.886
1981-01-01,261.521
1981-04-01,266.783
1981-07-01,289.024
1981-10-01,276.601
1982-01-01,261.637
1982-04-01,272.264
1982-07-01,270.004
1982-10-01,255.318
1983-01-01,268.647
1983-04-01,294.808
1983-07-01,315.406
1983-10-01,333.760
1984-01-01,370.083
1984-04-01,374.109
1984-07-01,371.961
1984-10-01,379.201
1985-01-01,378.443
1985-04-01,379.429
1985-07-01,398.644
1985-10-01,377.574
1986-01-01,375.767
1986-04-01,361.847
1986-07-01,357.122
1986-10-01,362.440
1987-01-01,375.131
1987-04-01,399.810
1987-07-01,422.098
1987-10-01,422.611
1988-01-01,440.287
1988-04-01,447.231
1988-07-01,455.399
1988-10-01,483.327
1989-01-01,462.706
1989-04-01,458.990
1989-07-01,460.435
1989-10-01,446.171
1990-01-01,458.322
1990-04-01,473.808
1990-07-01,451.599
1990-10-01,444.360
1991-01-01,458.997
1991-04-01,455.682
1991-07-01,449.495
1991-10-01,439.150
1992-01-01,444.527
1992-04-01,448.027
1992-07-01,439.505
1992-10-01,464.218
1993-01-01,452.757
1993-04-01,482.891
1993-07-01,487.618
1993-10-01,531.754
1994-01-01,546.445
1994-04-01,573.511
1994-07-01,594.459
1994-10-01,624.832
1995-01-01,611.494
1995-04-01,619.020
1995-07-01,656.348
1995-10-01,662.844
1996-01-01,685.239
1996-04-01,696.906
1996-07-01,704.931
1996-10-01,724.154
1997-01-01,741.328
1997-04-01,749.853
1997-07-01,786.802
1997-10-01,775.181
1998-01-01,734.955
1998-04-01,738.654
1998-07-01,760.379
1998-10-01,743.389
1999-01-01,765.957
1999-04-01,769.524
1999-07-01,744.237
1999-10-01,738.670
2000-01-01,738.448
2000-04-01,743.103
2000-07-01,728.021
2000-10-01,694.983
2001-01-01,679.699
2001-04-01,691.734
2001-07-01,676.964
2001-10-01,611.144
2002-01-01,689.232
2002-04-01,713.371
2002-07-01,730.986
2002-10-01,790.593
2003-01-01,787.941
2003-04-01,813.229
2003-07-01,847.710
2003-10-01,871.626
2004-01-01,937.727
2004-04-01,979.904
2004-07-01,1019.696
2004-10-01,1017.124
2005-01-01,1092.898
2005-04-01,1161.484
2005-07-01,1125.365
2005-10-01,1250.292
2006-01-01,1268.825
2006-04-01,1262.531
2006-07-01,1357.034
2006-10-01,1302.954
2007-01-01,1282.063
2007-04-01,1318.927
2007-07-01,1233.078
2007-10-01,1253.004
2008-01-01,1194.992
2008-04-01,1193.211
2008-07-01,1312.683
2008-10-01,1168.095
2009-01-01,1072.149
2009-04-01,1022.956
2009-07-01,1061.815
2009-10-01,1187.161
2010-01-01,1287.455
2010-04-01,1317.969
2010-07-01,1435.808
2010-10-01,1394.301
2011-01-01,1316.351
2011-04-01,1453.606
2011-07-01,1481.726
2011-10-01,1524.423
2012-01-01,1564.198
2012-04-01,1595.202
2012-07-01,1545.972
2012-10-01,1585.490
2013-01-01,1653.288
2013-04-01,1639.272
2013-07-01,1617.241
2013-10-01,1628.224
2014-01-01,1557.035
2014-04-01,1685.236
2014-07-01,1797.002
2014-10-01,1806.459
2015-01-01,1748.477
2015-04-01,1720.533
2015-07-01,1765.219
2015-10-01,1721.762
2016-01-01,1735.264
2016-04-01,1639.847
2016-07-01,1654.968
2016-10-01,1657.096
2017-01-01,1699.774
2017-04-01,1715.408
2017-07-01,1682.506
2017-10-01,1736.441
2018-01-01,1767.118
2018-04-01,1838.179
2018-07-01,1864.914
2018-10-01,1870.354
2019-01-01,1807.995
2019-04-01,1819.683
2019-07-01,1907.359
2019-10-01,1912.413
2020-01-01,1729.662
2020-04-01,1652.640
2020-07-01,2244.053
2020-10-01,2022.334
2021-01-01,2345.682
2021-04-01,2622.151
2021-07-01,2580.754
2021-10-01,2592.347
2022-01-01,2619.583
2022-04-01,2803.037
2022-07-01,2848.314
2022-10-01,2829.761
2023-01-01,2765.085
2023-04-01,2781.146
2023-07-01,2879.021
2023-10-01,3007.003
2024-01-01,2949.877
2024-04-01,2999.285
2024-07-01,3031.434
2024-10-01,3093.315
