date,FA224090055.Q,FA223034055.Q,FA223064255.Q,FA223090055.Q,FA223095505.Q,FA223093053.Q,FA224090055.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND
1946:Q4,0,0,0,0,0,0,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND
1947:Q4,0,0,0,0,0,0,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND
1948:Q4,0,0,0,0,0,0,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND
1949:Q4,0,0,0,0,0,0,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND
1950:Q4,0,0,0,0,0,0,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND
1951:Q4,0,0,0,0,0,0,0
1952:Q1,0,0,0,0,0,0,0
1952:Q2,0,0,0,0,0,0,0
1952:Q3,0,0,0,0,0,0,0
1952:Q4,0,0,0,0,0,0,0
1953:Q1,0,0,0,0,0,0,0
1953:Q2,0,0,0,0,0,0,0
1953:Q3,0,0,0,0,0,0,0
1953:Q4,0,0,0,0,0,0,0
1954:Q1,0,0,0,0,0,0,0
1954:Q2,0,0,0,0,0,0,0
1954:Q3,0,0,0,0,0,0,0
1954:Q4,0,0,0,0,0,0,0
1955:Q1,0,0,0,0,0,0,0
1955:Q2,0,0,0,0,0,0,0
1955:Q3,0,0,0,0,0,0,0
1955:Q4,0,0,0,0,0,0,0
1956:Q1,0,0,0,0,0,0,0
1956:Q2,0,0,0,0,0,0,0
1956:Q3,0,0,0,0,0,0,0
1956:Q4,0,0,0,0,0,0,0
1957:Q1,0,0,0,0,0,0,0
1957:Q2,0,0,0,0,0,0,0
1957:Q3,0,0,0,0,0,0,0
1957:Q4,0,0,0,0,0,0,0
1958:Q1,0,0,0,0,0,0,0
1958:Q2,0,0,0,0,0,0,0
1958:Q3,0,0,0,0,0,0,0
1958:Q4,0,0,0,0,0,0,0
1959:Q1,0,0,0,0,0,0,0
1959:Q2,0,0,0,0,0,0,0
1959:Q3,0,0,0,0,0,0,0
1959:Q4,0,0,0,0,0,0,0
1960:Q1,0,0,0,0,0,0,0
1960:Q2,0,0,0,0,0,0,0
1960:Q3,0,0,0,0,0,0,0
1960:Q4,0,0,0,0,0,0,0
1961:Q1,0,0,0,0,0,0,0
1961:Q2,0,0,0,0,0,0,0
1961:Q3,0,0,0,0,0,0,0
1961:Q4,0,0,0,0,0,0,0
1962:Q1,0,0,0,0,0,0,0
1962:Q2,0,0,0,0,0,0,0
1962:Q3,0,0,0,0,0,0,0
1962:Q4,0,0,0,0,0,0,0
1963:Q1,0,0,0,0,0,0,0
1963:Q2,0,0,0,0,0,0,0
1963:Q3,0,0,0,0,0,0,0
1963:Q4,0,0,0,0,0,0,0
1964:Q1,0,0,0,0,0,0,0
1964:Q2,0,0,0,0,0,0,0
1964:Q3,0,0,0,0,0,0,0
1964:Q4,0,0,0,0,0,0,0
1965:Q1,0,0,0,0,0,0,0
1965:Q2,0,0,0,0,0,0,0
1965:Q3,0,0,0,0,0,0,0
1965:Q4,0,0,0,0,0,0,0
1966:Q1,0,0,0,0,0,0,0
1966:Q2,0,0,0,0,0,0,0
1966:Q3,0,0,0,0,0,0,0
1966:Q4,0,0,0,0,0,0,0
1967:Q1,0,0,0,0,0,0,0
1967:Q2,0,0,0,0,0,0,0
1967:Q3,0,0,0,0,0,0,0
1967:Q4,0,0,0,0,0,0,0
1968:Q1,0,0,0,0,0,0,0
1968:Q2,0,0,0,0,0,0,0
1968:Q3,0,0,0,0,0,0,0
1968:Q4,0,0,0,0,0,0,0
1969:Q1,0,0,0,0,0,0,0
1969:Q2,0,0,0,0,0,0,0
1969:Q3,0,0,0,0,0,0,0
1969:Q4,0,0,0,0,0,0,0
1970:Q1,0,0,0,0,0,0,0
1970:Q2,0,0,0,0,0,0,0
1970:Q3,0,0,0,0,0,0,0
1970:Q4,0,0,0,0,0,0,0
1971:Q1,0,0,0,0,0,0,0
1971:Q2,0,0,0,0,0,0,0
1971:Q3,0,0,0,0,0,0,0
1971:Q4,0,0,0,0,0,0,0
1972:Q1,0,0,0,0,0,0,0
1972:Q2,0,0,0,0,0,0,0
1972:Q3,0,0,0,0,0,0,0
1972:Q4,0,0,0,0,0,0,0
1973:Q1,0,0,0,0,0,0,0
1973:Q2,0,0,0,0,0,0,0
1973:Q3,0,0,0,0,0,0,0
1973:Q4,0,0,0,0,0,0,0
1974:Q1,0,0,0,0,0,0,0
1974:Q2,0,0,0,0,0,0,0
1974:Q3,0,0,0,0,0,0,0
1974:Q4,0,0,0,0,0,0,0
1975:Q1,0,0,0,0,0,0,0
1975:Q2,0,0,0,0,0,0,0
1975:Q3,0,0,0,0,0,0,0
1975:Q4,0,0,0,0,0,0,0
1976:Q1,0,0,0,0,0,0,0
1976:Q2,0,0,0,0,0,0,0
1976:Q3,0,0,0,0,0,0,0
1976:Q4,0,0,0,0,0,0,0
1977:Q1,0,0,0,0,0,0,0
1977:Q2,0,0,0,0,0,0,0
1977:Q3,0,0,0,0,0,0,0
1977:Q4,0,0,0,0,0,0,0
1978:Q1,0,0,0,0,0,0,0
1978:Q2,0,0,0,0,0,0,0
1978:Q3,0,0,0,0,0,0,0
1978:Q4,0,0,0,0,0,0,0
1979:Q1,0,0,0,0,0,0,0
1979:Q2,0,0,0,0,0,0,0
1979:Q3,0,0,0,0,0,0,0
1979:Q4,0,0,0,0,0,0,0
1980:Q1,840,0,840,0,0,0,840
1980:Q2,-744,0,-744,0,0,0,-744
1980:Q3,836,0,836,0,0,0,836
1980:Q4,792,0,792,0,0,0,792
1981:Q1,-4,0,-4,0,0,0,-4
1981:Q2,232,0,232,0,0,0,232
1981:Q3,1312,0,1312,0,0,0,1312
1981:Q4,596,0,596,0,0,0,596
1982:Q1,292,0,292,0,0,0,292
1982:Q2,452,0,452,0,0,0,452
1982:Q3,748,0,748,0,0,0,748
1982:Q4,552,0,552,0,0,0,552
1983:Q1,-452,0,-452,0,0,0,-452
1983:Q2,304,0,304,0,0,0,304
1983:Q3,1292,0,1292,0,0,0,1292
1983:Q4,1056,0,1056,0,0,0,1056
1984:Q1,1420,0,1420,0,0,0,1420
1984:Q2,-288,0,-288,0,0,0,-288
1984:Q3,528,0,528,0,0,0,528
1984:Q4,1048,0,1048,0,0,0,1048
1985:Q1,428,0,428,0,0,0,428
1985:Q2,348,0,348,0,0,0,348
1985:Q3,376,0,376,0,0,0,376
1985:Q4,356,0,356,0,0,0,356
1986:Q1,2764,0,2764,0,0,0,2764
1986:Q2,-24,0,-24,0,0,0,-24
1986:Q3,356,0,356,0,0,0,356
1986:Q4,420,0,420,0,0,0,420
1987:Q1,2336,0,2336,0,0,0,2336
1987:Q2,188,0,188,0,0,0,188
1987:Q3,-100,0,-100,0,0,0,-100
1987:Q4,-420,0,-420,0,0,0,-420
1988:Q1,-144,0,-144,0,0,0,-144
1988:Q2,748,768,-20,0,0,0,748
1988:Q3,148,580,-432,0,0,0,148
1988:Q4,556,580,-24,0,0,0,556
1989:Q1,416,716,-300,0,0,0,416
1989:Q2,584,360,224,0,0,0,584
1989:Q3,308,592,-284,0,0,0,308
1989:Q4,792,460,332,0,0,0,792
1990:Q1,776,424,352,0,0,0,776
1990:Q2,768,384,384,0,0,0,768
1990:Q3,628,792,-164,0,0,0,628
1990:Q4,1072,548,524,0,0,0,1072
1991:Q1,-1708,-2000,292,0,0,0,-1708
1991:Q2,1136,-16,1152,0,0,0,1136
1991:Q3,952,236,716,0,0,0,952
1991:Q4,1428,312,1116,0,0,0,1428
1992:Q1,428,-100,528,0,0,0,428
1992:Q2,1216,52,1164,0,0,0,1216
1992:Q3,908,112,796,0,0,0,908
1992:Q4,1916,276,1640,0,0,0,1916
1993:Q1,1372,228,1144,0,0,0,1372
1993:Q2,1300,92,1208,0,0,0,1300
1993:Q3,-4672,176,-4848,0,0,0,-4672
1993:Q4,1708,-120,1828,0,0,0,1708
1994:Q1,1072,136,936,0,0,0,1072
1994:Q2,316,180,136,0,0,0,316
1994:Q3,2612,52,2560,0,0,0,2612
1994:Q4,1228,148,1080,0,0,0,1228
1995:Q1,1032,352,680,0,0,0,1032
1995:Q2,-6788,296,-7084,0,0,0,-6788
1995:Q3,1756,48,1708,0,0,0,1756
1995:Q4,3088,8,3080,0,0,0,3088
1996:Q1,2124,116,2008,0,0,0,2124
1996:Q2,1660,-36,1696,0,0,0,1660
1996:Q3,60,448,-388,0,0,0,60
1996:Q4,3372,708,2664,0,0,0,3372
1997:Q1,31488,1548,19120,10820,10820,0,31488
1997:Q2,26020,1200,1608,23212,23212,0,26020
1997:Q3,19192,1096,600,17496,17496,0,19192
1997:Q4,37052,1316,24072,11664,11664,0,37052
1998:Q1,25812,1424,152,24236,24236,0,25812
1998:Q2,29948,1640,15116,13192,13192,0,29948
1998:Q3,43504,2916,42432,-1844,-1844,0,43504
1998:Q4,24000,1720,-9868,32148,32148,0,24000
1999:Q1,35168,1812,25196,8160,8160,0,35168
1999:Q2,29848,1164,14672,14012,14012,0,29848
1999:Q3,50236,1784,47732,720,720,0,50236
1999:Q4,-320,1692,-25468,23456,23456,0,-320
2000:Q1,-24548,-1884,-25600,2936,2936,0,-24548
2000:Q2,2968,-1064,10580,-6548,-6548,0,2968
2000:Q3,-13360,-992,-7580,-4788,-4788,0,-13360
2000:Q4,13568,-828,28948,-14552,-14552,0,13568
2001:Q1,20932,2496,38340,-19904,-19904,0,20932
2001:Q2,-20220,564,-23672,2888,2888,0,-20220
2001:Q3,27652,2092,45512,-19952,-19952,0,27652
2001:Q4,-30492,540,-38316,7284,7284,0,-30492
2002:Q1,-14920,-1780,-10932,-2208,-2208,0,-14920
2002:Q2,7132,-1040,22640,-14468,-14468,0,7132
2002:Q3,12568,-560,31356,-18228,-18228,0,12568
2002:Q4,-24092,-576,-27428,3912,3912,0,-24092
2003:Q1,43016,-708,32624,11100,11100,0,43016
2003:Q2,6784,-1832,-18464,27080,27080,0,6784
2003:Q3,29948,-1064,13184,17828,17828,0,29948
2003:Q4,14188,-1672,-10804,26664,26664,0,14188
2004:Q1,17876,-1452,7260,12068,12068,0,17876
2004:Q2,27052,-664,17636,10080,10080,0,27052
2004:Q3,24508,-844,18620,6732,6732,0,24508
2004:Q4,-1084,-1316,-20700,20932,20932,0,-1084
2005:Q1,28144,280,22940,4924,4924,0,28144
2005:Q2,13004,288,3820,8896,8896,0,13004
2005:Q3,5676,544,-8212,13344,13344,0,5676
2005:Q4,16304,236,5556,10512,10512,0,16304
2006:Q1,126452,592,-6152,132012,16204,115808,126452
2006:Q2,38436,1800,28256,8380,6200,2180,38436
2006:Q3,16620,1356,-1588,16852,14648,2204,16620
2006:Q4,6420,1024,-15660,21056,18852,2204,6420
2007:Q1,12328,988,1556,9784,8328,1456,12328
2007:Q2,43532,1344,10072,32116,27744,4372,43532
2007:Q3,9064,5720,-4280,7624,7624,0,9064
2007:Q4,13840,924,7356,5560,1188,4372,13840
2008:Q1,-40480,1688,-5180,-36988,-34072,-2916,-40480
2008:Q2,26344,0,11700,14644,10272,4372,26344
2008:Q3,-46476,1008,-1836,-45648,-42736,-2912,-46476
2008:Q4,-73584,4236,-2056,-75764,-67020,-8744,-73584
2009:Q1,-19188,1076,-7512,-12752,-14208,1456,-19188
2009:Q2,67580,-1804,8108,61276,51076,10200,67580
2009:Q3,52836,-1944,796,53984,46700,7284,52836
2009:Q4,31012,-1228,9656,22584,18212,4372,31012
2010:Q1,28476,-792,8340,20928,18012,2916,28476
2010:Q2,-41556,-472,-7772,-33312,-31856,-1456,-41556
2010:Q3,43896,-640,-1756,46292,39008,7284,43896
2010:Q4,45932,-844,9872,36904,31076,5828,45932
2011:Q1,28368,-828,2560,26636,21884,4752,28368
2011:Q2,-26016,-468,-21944,-3604,-2012,-1592,-26016
2011:Q3,-54156,640,-25088,-29708,-28132,-1576,-54156
2011:Q4,-1464,-760,-10628,9924,11488,-1564,-1464
2012:Q1,-460,-1256,-6544,7340,9184,-1844,-460
2012:Q2,-30608,-412,-11764,-18432,-16616,-1816,-30608
2012:Q3,-10896,-484,-11748,1336,3120,-1784,-10896
2012:Q4,-22096,-368,-17340,-4388,-2636,-1752,-22096
2013:Q1,-8620,-752,-11740,3872,3696,176,-8620
2013:Q2,-17328,-84,-8668,-8576,-8704,128,-17328
2013:Q3,-15032,3792,-15352,-3472,-3552,80,-15032
2013:Q4,-9992,-672,-21444,12124,12096,28,-9992
2014:Q1,-55224,-1288,-34100,-19836,-16704,-3132,-55224
2014:Q2,-62960,-1280,-49252,-12428,-9344,-3084,-62960
2014:Q3,-49460,-1200,-43244,-5016,-1992,-3024,-49460
2014:Q4,-46648,-1316,-34588,-10744,-7772,-2972,-46648
2015:Q1,-33060,-800,-30288,-1972,-1032,-940,-33060
2015:Q2,-33780,-536,-33144,-100,888,-988,-33780
2015:Q3,-46080,-4424,-37800,-3856,-2820,-1036,-46080
2015:Q4,-13148,3272,-18388,1968,3048,-1080,-13148
2016:Q1,-27060,-4584,-30040,7564,9764,-2200,-27060
2016:Q2,-34772,-844,-28480,-5448,-3304,-2144,-34772
2016:Q3,-38944,-876,-31876,-6192,-4096,-2096,-38944
2016:Q4,-14920,-824,-107068,92972,95008,-2036,-14920
2017:Q1,-4624,-848,3816,-7592,-8216,624,-4624
2017:Q2,-1232,-752,-6256,5776,5220,556,-1232
2017:Q3,-5944,-240,-26728,21024,20536,488,-5944
2017:Q4,32700,-380,-3728,36808,36388,420,32700
2018:Q1,-39844,-324,-25148,-14372,-13232,-1140,-39844
2018:Q2,-17500,-468,-20224,3192,4376,-1184,-17500
2018:Q3,256,-420,-28848,29524,30756,-1232,256
2018:Q4,-78312,-152,-32808,-45352,-44076,-1276,-78312
2019:Q1,22840,-284,-6400,29524,29024,500,22840
2019:Q2,-13436,-196,-16568,3328,2932,396,-13436
2019:Q3,-22312,-136,-11844,-10332,-10620,288,-22312
2019:Q4,3824,-256,-1284,5364,5184,180,3824
2020:Q1,-41536,768,-31284,-11020,-8424,-2596,-41536
2020:Q2,176,-304,-2812,3292,5740,-2448,176
2020:Q3,-8628,-344,-18880,10596,12896,-2300,-8628
2020:Q4,-188,-928,-6212,6952,9104,-2152,-188
2021:Q1,-24280,-920,-31064,7704,9068,-1364,-24280
2021:Q2,-22160,-944,-38424,17208,18824,-1616,-22160
2021:Q3,-24724,-604,-32156,8036,9900,-1864,-24724
2021:Q4,-9208,-592,-26756,18140,20252,-2112,-9208
2022:Q1,-4756,-192,-21824,17260,18416,-1156,-4756
2022:Q2,-20060,-184,-28548,8672,9764,-1092,-20060
2022:Q3,-12052,-184,-20940,9072,10096,-1024,-12052
2022:Q4,-14048,-172,-25712,11836,12800,-964,-14048
2023:Q1,9672,20,1272,8380,8368,12,9672
2023:Q2,11220,4016,4548,2656,2640,16,11220
2023:Q3,796,16,-3712,4492,4476,16,796
2023:Q4,2144,16,-2144,4272,4260,12,2144
2024:Q1,14128,-4,1792,12340,12324,16,14128
2024:Q2,9388,20,-4008,13376,13360,16,9388
2024:Q3,8848,4,-3292,12136,12124,12,8848
2024:Q4,14320,0,956,13364,13348,16,14320
2025:Q1,4308,240,-4664,8732,8716,16,4308
