date,FU224090055.Q,FU223034055.Q,FU223064255.Q,FU223090055.Q,FU223095505.Q,FU223093053.Q,FU224090055.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND
1946:Q4,0,0,0,0,0,0,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND
1947:Q4,0,0,0,0,0,0,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND
1948:Q4,0,0,0,0,0,0,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND
1949:Q4,0,0,0,0,0,0,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND
1950:Q4,0,0,0,0,0,0,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND
1951:Q4,0,0,0,0,0,0,0
1952:Q1,0,0,0,0,0,0,0
1952:Q2,0,0,0,0,0,0,0
1952:Q3,0,0,0,0,0,0,0
1952:Q4,0,0,0,0,0,0,0
1953:Q1,0,0,0,0,0,0,0
1953:Q2,0,0,0,0,0,0,0
1953:Q3,0,0,0,0,0,0,0
1953:Q4,0,0,0,0,0,0,0
1954:Q1,0,0,0,0,0,0,0
1954:Q2,0,0,0,0,0,0,0
1954:Q3,0,0,0,0,0,0,0
1954:Q4,0,0,0,0,0,0,0
1955:Q1,0,0,0,0,0,0,0
1955:Q2,0,0,0,0,0,0,0
1955:Q3,0,0,0,0,0,0,0
1955:Q4,0,0,0,0,0,0,0
1956:Q1,0,0,0,0,0,0,0
1956:Q2,0,0,0,0,0,0,0
1956:Q3,0,0,0,0,0,0,0
1956:Q4,0,0,0,0,0,0,0
1957:Q1,0,0,0,0,0,0,0
1957:Q2,0,0,0,0,0,0,0
1957:Q3,0,0,0,0,0,0,0
1957:Q4,0,0,0,0,0,0,0
1958:Q1,0,0,0,0,0,0,0
1958:Q2,0,0,0,0,0,0,0
1958:Q3,0,0,0,0,0,0,0
1958:Q4,0,0,0,0,0,0,0
1959:Q1,0,0,0,0,0,0,0
1959:Q2,0,0,0,0,0,0,0
1959:Q3,0,0,0,0,0,0,0
1959:Q4,0,0,0,0,0,0,0
1960:Q1,0,0,0,0,0,0,0
1960:Q2,0,0,0,0,0,0,0
1960:Q3,0,0,0,0,0,0,0
1960:Q4,0,0,0,0,0,0,0
1961:Q1,0,0,0,0,0,0,0
1961:Q2,0,0,0,0,0,0,0
1961:Q3,0,0,0,0,0,0,0
1961:Q4,0,0,0,0,0,0,0
1962:Q1,0,0,0,0,0,0,0
1962:Q2,0,0,0,0,0,0,0
1962:Q3,0,0,0,0,0,0,0
1962:Q4,0,0,0,0,0,0,0
1963:Q1,0,0,0,0,0,0,0
1963:Q2,0,0,0,0,0,0,0
1963:Q3,0,0,0,0,0,0,0
1963:Q4,0,0,0,0,0,0,0
1964:Q1,0,0,0,0,0,0,0
1964:Q2,0,0,0,0,0,0,0
1964:Q3,0,0,0,0,0,0,0
1964:Q4,0,0,0,0,0,0,0
1965:Q1,0,0,0,0,0,0,0
1965:Q2,0,0,0,0,0,0,0
1965:Q3,0,0,0,0,0,0,0
1965:Q4,0,0,0,0,0,0,0
1966:Q1,0,0,0,0,0,0,0
1966:Q2,0,0,0,0,0,0,0
1966:Q3,0,0,0,0,0,0,0
1966:Q4,0,0,0,0,0,0,0
1967:Q1,0,0,0,0,0,0,0
1967:Q2,0,0,0,0,0,0,0
1967:Q3,0,0,0,0,0,0,0
1967:Q4,0,0,0,0,0,0,0
1968:Q1,0,0,0,0,0,0,0
1968:Q2,0,0,0,0,0,0,0
1968:Q3,0,0,0,0,0,0,0
1968:Q4,0,0,0,0,0,0,0
1969:Q1,0,0,0,0,0,0,0
1969:Q2,0,0,0,0,0,0,0
1969:Q3,0,0,0,0,0,0,0
1969:Q4,0,0,0,0,0,0,0
1970:Q1,0,0,0,0,0,0,0
1970:Q2,0,0,0,0,0,0,0
1970:Q3,0,0,0,0,0,0,0
1970:Q4,0,0,0,0,0,0,0
1971:Q1,0,0,0,0,0,0,0
1971:Q2,0,0,0,0,0,0,0
1971:Q3,0,0,0,0,0,0,0
1971:Q4,0,0,0,0,0,0,0
1972:Q1,0,0,0,0,0,0,0
1972:Q2,0,0,0,0,0,0,0
1972:Q3,0,0,0,0,0,0,0
1972:Q4,0,0,0,0,0,0,0
1973:Q1,0,0,0,0,0,0,0
1973:Q2,0,0,0,0,0,0,0
1973:Q3,0,0,0,0,0,0,0
1973:Q4,0,0,0,0,0,0,0
1974:Q1,0,0,0,0,0,0,0
1974:Q2,0,0,0,0,0,0,0
1974:Q3,0,0,0,0,0,0,0
1974:Q4,0,0,0,0,0,0,0
1975:Q1,0,0,0,0,0,0,0
1975:Q2,0,0,0,0,0,0,0
1975:Q3,0,0,0,0,0,0,0
1975:Q4,0,0,0,0,0,0,0
1976:Q1,0,0,0,0,0,0,0
1976:Q2,0,0,0,0,0,0,0
1976:Q3,0,0,0,0,0,0,0
1976:Q4,0,0,0,0,0,0,0
1977:Q1,0,0,0,0,0,0,0
1977:Q2,0,0,0,0,0,0,0
1977:Q3,0,0,0,0,0,0,0
1977:Q4,0,0,0,0,0,0,0
1978:Q1,0,0,0,0,0,0,0
1978:Q2,0,0,0,0,0,0,0
1978:Q3,0,0,0,0,0,0,0
1978:Q4,0,0,0,0,0,0,0
1979:Q1,0,0,0,0,0,0,0
1979:Q2,0,0,0,0,0,0,0
1979:Q3,0,0,0,0,0,0,0
1979:Q4,0,0,0,0,0,0,0
1980:Q1,210,0,210,0,0,0,210
1980:Q2,-186,0,-186,0,0,0,-186
1980:Q3,209,0,209,0,0,0,209
1980:Q4,198,0,198,0,0,0,198
1981:Q1,-1,0,-1,0,0,0,-1
1981:Q2,58,0,58,0,0,0,58
1981:Q3,328,0,328,0,0,0,328
1981:Q4,149,0,149,0,0,0,149
1982:Q1,73,0,73,0,0,0,73
1982:Q2,113,0,113,0,0,0,113
1982:Q3,187,0,187,0,0,0,187
1982:Q4,138,0,138,0,0,0,138
1983:Q1,-113,0,-113,0,0,0,-113
1983:Q2,76,0,76,0,0,0,76
1983:Q3,323,0,323,0,0,0,323
1983:Q4,264,0,264,0,0,0,264
1984:Q1,355,0,355,0,0,0,355
1984:Q2,-72,0,-72,0,0,0,-72
1984:Q3,132,0,132,0,0,0,132
1984:Q4,262,0,262,0,0,0,262
1985:Q1,107,0,107,0,0,0,107
1985:Q2,87,0,87,0,0,0,87
1985:Q3,94,0,94,0,0,0,94
1985:Q4,89,0,89,0,0,0,89
1986:Q1,691,0,691,0,0,0,691
1986:Q2,-6,0,-6,0,0,0,-6
1986:Q3,89,0,89,0,0,0,89
1986:Q4,105,0,105,0,0,0,105
1987:Q1,584,0,584,0,0,0,584
1987:Q2,47,0,47,0,0,0,47
1987:Q3,-25,0,-25,0,0,0,-25
1987:Q4,-105,0,-105,0,0,0,-105
1988:Q1,-36,0,-36,0,0,0,-36
1988:Q2,187,192,-5,0,0,0,187
1988:Q3,37,145,-108,0,0,0,37
1988:Q4,139,145,-6,0,0,0,139
1989:Q1,104,179,-75,0,0,0,104
1989:Q2,146,90,56,0,0,0,146
1989:Q3,77,148,-71,0,0,0,77
1989:Q4,198,115,83,0,0,0,198
1990:Q1,194,106,88,0,0,0,194
1990:Q2,192,96,96,0,0,0,192
1990:Q3,157,198,-41,0,0,0,157
1990:Q4,268,137,131,0,0,0,268
1991:Q1,-427,-500,73,0,0,0,-427
1991:Q2,284,-4,288,0,0,0,284
1991:Q3,238,59,179,0,0,0,238
1991:Q4,357,78,279,0,0,0,357
1992:Q1,107,-25,132,0,0,0,107
1992:Q2,304,13,291,0,0,0,304
1992:Q3,227,28,199,0,0,0,227
1992:Q4,479,69,410,0,0,0,479
1993:Q1,343,57,286,0,0,0,343
1993:Q2,325,23,302,0,0,0,325
1993:Q3,-1168,44,-1212,0,0,0,-1168
1993:Q4,427,-30,457,0,0,0,427
1994:Q1,268,34,234,0,0,0,268
1994:Q2,79,45,34,0,0,0,79
1994:Q3,653,13,640,0,0,0,653
1994:Q4,307,37,270,0,0,0,307
1995:Q1,258,88,170,0,0,0,258
1995:Q2,-1697,74,-1771,0,0,0,-1697
1995:Q3,439,12,427,0,0,0,439
1995:Q4,772,2,770,0,0,0,772
1996:Q1,531,29,502,0,0,0,531
1996:Q2,415,-9,424,0,0,0,415
1996:Q3,15,112,-97,0,0,0,15
1996:Q4,843,177,666,0,0,0,843
1997:Q1,7872,387,4780,2705,2705,0,7872
1997:Q2,6505,300,402,5803,5803,0,6505
1997:Q3,4798,274,150,4374,4374,0,4798
1997:Q4,9263,329,6018,2916,2916,0,9263
1998:Q1,6453,356,38,6059,6059,0,6453
1998:Q2,7487,410,3779,3298,3298,0,7487
1998:Q3,10876,729,10608,-461,-461,0,10876
1998:Q4,6000,430,-2467,8037,8037,0,6000
1999:Q1,8792,453,6299,2040,2040,0,8792
1999:Q2,7462,291,3668,3503,3503,0,7462
1999:Q3,12559,446,11933,180,180,0,12559
1999:Q4,-80,423,-6367,5864,5864,0,-80
2000:Q1,-6137,-471,-6400,734,734,0,-6137
2000:Q2,742,-266,2645,-1637,-1637,0,742
2000:Q3,-3340,-248,-1895,-1197,-1197,0,-3340
2000:Q4,3392,-207,7237,-3638,-3638,0,3392
2001:Q1,5233,624,9585,-4976,-4976,0,5233
2001:Q2,-5055,141,-5918,722,722,0,-5055
2001:Q3,6913,523,11378,-4988,-4988,0,6913
2001:Q4,-7623,135,-9579,1821,1821,0,-7623
2002:Q1,-3730,-445,-2733,-552,-552,0,-3730
2002:Q2,1783,-260,5660,-3617,-3617,0,1783
2002:Q3,3142,-140,7839,-4557,-4557,0,3142
2002:Q4,-6023,-144,-6857,978,978,0,-6023
2003:Q1,10754,-177,8156,2775,2775,0,10754
2003:Q2,1696,-458,-4616,6770,6770,0,1696
2003:Q3,7487,-266,3296,4457,4457,0,7487
2003:Q4,3547,-418,-2701,6666,6666,0,3547
2004:Q1,4469,-363,1815,3017,3017,0,4469
2004:Q2,6763,-166,4409,2520,2520,0,6763
2004:Q3,6127,-211,4655,1683,1683,0,6127
2004:Q4,-271,-329,-5175,5233,5233,0,-271
2005:Q1,7036,70,5735,1231,1231,0,7036
2005:Q2,3251,72,955,2224,2224,0,3251
2005:Q3,1419,136,-2053,3336,3336,0,1419
2005:Q4,4076,59,1389,2628,2628,0,4076
2006:Q1,31613,148,-1538,33003,4051,28952,31613
2006:Q2,9609,450,7064,2095,1550,545,9609
2006:Q3,4155,339,-397,4213,3662,551,4155
2006:Q4,1605,256,-3915,5264,4713,551,1605
2007:Q1,3082,247,389,2446,2082,364,3082
2007:Q2,10883,336,2518,8029,6936,1093,10883
2007:Q3,2266,1430,-1070,1906,1906,0,2266
2007:Q4,3460,231,1839,1390,297,1093,3460
2008:Q1,-10120,422,-1295,-9247,-8518,-729,-10120
2008:Q2,6586,0,2925,3661,2568,1093,6586
2008:Q3,-11619,252,-459,-11412,-10684,-728,-11619
2008:Q4,-18396,1059,-514,-18941,-16755,-2186,-18396
2009:Q1,-4797,269,-1878,-3188,-3552,364,-4797
2009:Q2,16895,-451,2027,15319,12769,2550,16895
2009:Q3,13209,-486,199,13496,11675,1821,13209
2009:Q4,7753,-307,2414,5646,4553,1093,7753
2010:Q1,7119,-198,2085,5232,4503,729,7119
2010:Q2,-10389,-118,-1943,-8328,-7964,-364,-10389
2010:Q3,10974,-160,-439,11573,9752,1821,10974
2010:Q4,11483,-211,2468,9226,7769,1457,11483
2011:Q1,7092,-207,640,6659,5471,1188,7092
2011:Q2,-6504,-117,-5486,-901,-503,-398,-6504
2011:Q3,-13539,160,-6272,-7427,-7033,-394,-13539
2011:Q4,-366,-190,-2657,2481,2872,-391,-366
2012:Q1,-115,-314,-1636,1835,2296,-461,-115
2012:Q2,-7652,-103,-2941,-4608,-4154,-454,-7652
2012:Q3,-2724,-121,-2937,334,780,-446,-2724
2012:Q4,-5524,-92,-4335,-1097,-659,-438,-5524
2013:Q1,-2155,-188,-2935,968,924,44,-2155
2013:Q2,-4332,-21,-2167,-2144,-2176,32,-4332
2013:Q3,-3758,948,-3838,-868,-888,20,-3758
2013:Q4,-2498,-168,-5361,3031,3024,7,-2498
2014:Q1,-13806,-322,-8525,-4959,-4176,-783,-13806
2014:Q2,-15740,-320,-12313,-3107,-2336,-771,-15740
2014:Q3,-12365,-300,-10811,-1254,-498,-756,-12365
2014:Q4,-11662,-329,-8647,-2686,-1943,-743,-11662
2015:Q1,-8265,-200,-7572,-493,-258,-235,-8265
2015:Q2,-8445,-134,-8286,-25,222,-247,-8445
2015:Q3,-11520,-1106,-9450,-964,-705,-259,-11520
2015:Q4,-3287,818,-4597,492,762,-270,-3287
2016:Q1,-6765,-1146,-7510,1891,2441,-550,-6765
2016:Q2,-8693,-211,-7120,-1362,-826,-536,-8693
2016:Q3,-9736,-219,-7969,-1548,-1024,-524,-9736
2016:Q4,-3730,-206,-26767,23243,23752,-509,-3730
2017:Q1,-1156,-212,954,-1898,-2054,156,-1156
2017:Q2,-308,-188,-1564,1444,1305,139,-308
2017:Q3,-1486,-60,-6682,5256,5134,122,-1486
2017:Q4,8175,-95,-932,9202,9097,105,8175
2018:Q1,-9961,-81,-6287,-3593,-3308,-285,-9961
2018:Q2,-4375,-117,-5056,798,1094,-296,-4375
2018:Q3,64,-105,-7212,7381,7689,-308,64
2018:Q4,-19578,-38,-8202,-11338,-11019,-319,-19578
2019:Q1,5710,-71,-1600,7381,7256,125,5710
2019:Q2,-3359,-49,-4142,832,733,99,-3359
2019:Q3,-5578,-34,-2961,-2583,-2655,72,-5578
2019:Q4,956,-64,-321,1341,1296,45,956
2020:Q1,-10384,192,-7821,-2755,-2106,-649,-10384
2020:Q2,44,-76,-703,823,1435,-612,44
2020:Q3,-2157,-86,-4720,2649,3224,-575,-2157
2020:Q4,-47,-232,-1553,1738,2276,-538,-47
2021:Q1,-6070,-230,-7766,1926,2267,-341,-6070
2021:Q2,-5540,-236,-9606,4302,4706,-404,-5540
2021:Q3,-6181,-151,-8039,2009,2475,-466,-6181
2021:Q4,-2302,-148,-6689,4535,5063,-528,-2302
2022:Q1,-1189,-48,-5456,4315,4604,-289,-1189
2022:Q2,-5015,-46,-7137,2168,2441,-273,-5015
2022:Q3,-3013,-46,-5235,2268,2524,-256,-3013
2022:Q4,-3512,-43,-6428,2959,3200,-241,-3512
2023:Q1,2418,5,318,2095,2092,3,2418
2023:Q2,2805,1004,1137,664,660,4,2805
2023:Q3,199,4,-928,1123,1119,4,199
2023:Q4,536,4,-536,1068,1065,3,536
2024:Q1,3532,-1,448,3085,3081,4,3532
2024:Q2,2347,5,-1002,3344,3340,4,2347
2024:Q3,2212,1,-823,3034,3031,3,2212
2024:Q4,3580,0,239,3341,3337,4,3580
2025:Q1,1077,60,-1166,2183,2179,4,1077
